SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,NPOPCHG_2025,PPOPCHG_2020,PPOPCHG_2021,PPOPCHG_2022,PPOPCHG_2023,PPOPCHG_2024,PPOPCHG_2025,NRANK_ESTBASE2020,NRANK_POPEST2020,NRANK_POPEST2021,NRANK_POPEST2022,NRANK_POPEST2023,NRANK_POPEST2024,NRANK_POPEST2025,NRANK_NPCHG2020,NRANK_NPCHG2021,NRANK_NPCHG2022,NRANK_NPCHG2023,NRANK_NPCHG2024,NRANK_NPCHG2025,NRANK_PPCHG2020,NRANK_PPCHG2021,NRANK_PPCHG2022,NRANK_PPCHG2023,NRANK_PPCHG2024,NRANK_PPCHG2025
010,0,0,00,United States,331516113,331578104,332100166,333996304,336755052,340003797,341784857,61991,522062,1896138,2758748,3248745,1781060,0.0186992419,0.1574476703,0.5709536441,0.8259815953,0.9647204936,0.5238353265,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,57617560,57436027,57234503,57174375,57458539,57940522,58042054,-181533,-201524,-60128,284164,481983,101532,-0.315065407,-0.350866887,-0.105055512,0.4970128663,0.8388361563,0.1752348728,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,2,2,4
030,1,1,00,New England,15122087,15047713,15116021,15178293,15267275,15386901,15431980,-74374,68308,62272,88982,119626,45079,-0.491823648,0.4539427354,0.4119602639,0.5862451067,0.7835451972,0.2929699749,9,9,9,9,9,9,9,8,4,5,9,9,9,9,4,5,5,6,6
030,1,2,00,Middle Atlantic,42495473,42388314,42118482,41996082,42191264,42553621,42610074,-107159,-269832,-122400,195182,362357,56453,-0.252165684,-0.636571674,-0.290608764,0.4647624033,0.8588436696,0.132663211,4,4,4,4,5,5,5,9,8,9,4,3,8,8,8,9,7,5,8
020,2,0,00,Midwest Region,68999462,68979566,68867096,68872112,69132050,69518281,69762666,-19896,-112470,5016,259938,386231,244385,-0.028835007,-0.163048286,0.0072835945,0.3774212703,0.5586858772,0.3515406257,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,4,2
030,2,3,00,East North Central,47381476,47353837,47203510,47163396,47315626,47555538,47693655,-27639,-150327,-40114,152230,239912,138117,-0.058332923,-0.31745474,-0.084980969,0.3227714985,0.5070460232,0.2904330511,3,3,3,3,3,3,3,7,7,8,6,6,4,7,7,8,8,9,7
030,2,4,00,West North Central,21617986,21625729,21663586,21708716,21816424,21962743,22069011,7743,37857,45130,107708,146319,106268,0.0358173976,0.1750553704,0.2083219279,0.4961509469,0.6706827847,0.4838557734,7,7,7,7,7,7,7,5,6,6,8,8,6,5,6,6,6,7,5
020,3,0,00,South Region,126281605,126473371,127380165,129066102,130894372,132662072,133833983,191766,906794,1685937,1828270,1767700,1171911,0.1518558463,0.716984131,1.3235475084,1.4165377056,1.3504782314,0.8833805943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
030,3,5,00,South Atlantic,66098022,66176335,66686315,67671784,68680474,69586214,70198706,78313,509980,985469,1008690,905740,612492,0.1184800961,0.7706380234,1.4777679648,1.4905621522,1.318773659,0.8801915851,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,2,2,2
030,3,6,00,East South Central,19405307,19427354,19472696,19602668,19763302,19948564,20069188,22047,45342,129972,160634,185262,120624,0.1136132502,0.233392566,0.6674576546,0.819449679,0.9374040836,0.6046751034,8,8,8,8,8,8,8,4,5,4,5,7,5,4,5,4,4,4,4
